,driverId,raceId,age,position,pct_laps_comp,points,grid
55,21,20,35.24931506849315,12.0,98.24561403508771,0.0,18
56,1,20,23.26027397260274,13.0,98.24561403508771,0.0,3
57,6,20,23.24931506849315,14.0,98.24561403508771,0.0,16
58,7,20,29.123287671232877,15.0,98.24561403508771,0.0,15
59,19,20,28.98904109589041,16.0,98.24561403508771,0.0,21
60,11,20,31.208219178082192,17.0,98.24561403508771,0.0,22
61,14,20,37.054794520547944,18.0,98.24561403508771,0.0,17
62,16,20,25.252054794520546,19.0,98.24561403508771,0.0,20
66,8,21,28.54794520547945,1.0,100.0,10.0,1
67,13,21,27.024657534246575,2.0,100.0,8.0,3
68,1,21,23.317808219178083,3.0,100.0,6.0,5
69,9,21,23.4027397260274,4.0,100.0,5.0,4
70,17,21,31.687671232876713,5.0,100.0,4.0,7
71,18,21,28.29041095890411,6.0,100.0,3.0,13
72,6,21,23.306849315068494,7.0,100.0,2.0,12
73,15,21,33.81369863013698,8.0,100.0,1.0,8
74,2,21,30.986301369863014,9.0,100.0,0.0,9
75,21,21,35.30684931506849,10.0,98.48484848484848,0.0,19
76,10,21,26.12876712328767,11.0,98.48484848484848,0.0,14
77,14,21,37.11232876712329,12.0,98.48484848484848,0.0,17
78,11,21,31.265753424657536,13.0,98.48484848484848,0.0,22
88,13,22,27.063013698630137,1.0,100.0,10.0,1
89,1,22,23.356164383561644,2.0,100.0,8.0,3
90,8,22,28.586301369863012,3.0,100.0,6.0,4
